|lemma|lemma_correct
3227.0|Abendbrot|das Abendbrot
3229.0|Frage|die Frage
3230.0|bohren|bohren
3232.0|gnadenlos|gnadenlos
3238.0|Million|die Million
3239.0|bedrohen|bedrohen
3241.0|Hungertod|der Hungertod
3243.0|Schätzung|die Schätzung
3248.0|gerade|gerade
3250.0|Obst|das Obst
3251.0|zerhäckseln|zerhäckseln
3260.0|traurig|traurig
3263.0|Fliege|die Fliege
3264.0|sitzen|sitzen
3265.0|Weiß|das Weiß
3269.0|grausam|grausam
3272.0|scheiß|scheiß
3275.0|fühlen|fühlen
3280.0|bloß|bloß
3284.0|verdammen|verdammen
3288.0|möglich|möglich
3294.0|oft|oft
3299.0|beinah|beinah
3300.0|täglich|täglich
3302.0|warum|warum
3305.0|mittlerweile|mittlerweile
3310.0|erschrecken|erschrecken
3312.0|irgendwo|irgendwo
3315.0|dreckig|dreckig
3317.0|verrecken|verrecken
3319.0|dumpf|dumpf
3322.0|Leere|die Leere
3325.0|sowas|sowas
3337.0|zerreißen|zerreißen
3343.0|Scheiß|der Scheiß
3345.0|ertragen|ertragen
3352.0|Fressen|das Fressen
3356.0|Stein|der Stein
3358.0|Magen|der Magen
3405.0|bestialisch|bestialisch
3406.0|Art|die Art
3409.0|brutal|brutal
3410.0|Anschlag|der Anschlag
3413.0|sechs|sechs
3417.0|verletzt|verletzt
3419.0|Name|der Name
3421.0|entsetzlich|entsetzlich
3422.0|Tat|die Tat
3435.0|Bild|das Bild
3437.0|TV|das TV
3437.001|TV|der TV
3442.0|dort|dort
3445.0|flehen|flehen
3462.0|verlieren|verlieren
3472.0|übersteigen|übersteigen
3474.0|Vorstellungskraft|die Vorstellungskraft
3478.0|Attentäter|der Attentäter
3479.0|voll|voll
3480.0|Hass|der Hass
3483.0|Gegner|der Gegner
3489.0|Familie|die Familie
3493.0|sogar|sogar
3494.0|selber|selber
3499.0|Nachricht|die Nachricht
3504.0|etwas|etwas
3505.0|seltsam|seltsam
3510.0|Eltern|Eltern
3512.0|Haben|das Haben
3518.0|setzen|setzen
3525.0|Angst|die Angst
3526.0|davor|davor
3527.0|kriegen|kriegen
3531.0|geschehen|geschehen
3544.0|mitten|mitten
3553.0|schweißgebadet|schweißgebadet
3554.0|schleichen|schleichen
3564.0|leise|leise
3565.0|atmen|atmen
3582.0|niemand|niemand
3616.0|loswerden|loswerden
3633.0|kapitalistisch|kapitalistisch
3643.0|aktuell|aktuell
3644.0|Betrag|der Betrag
3668.0|Euro|der Euro
3668.001|Euro|die Euro
3669.0|viel|viel
3683.0|mögen|mögen
3689.0|Haarfarbe|die Haarfarbe
3701.0|riechen|riechen
3711.0|recht|recht
3714.0|zuhören|zuhören
3719.0|besonders|besonders
3736.0|daran|daran
3741.0|ändern|ändern
3742.0|außer|außer
3743.0|jemand|jemand
3744.0|anders|anders
3749.0|doppelt|doppelt
3780.0|Geld|das Geld
3786.0|am|am
3801.0|Hintern|der Hintern
3802.0|tätowieren|tätowieren
3811.0|einmal|einmal
3812.0|Platz|der Platz
3815.0|Vorname|der Vorname
3818.0|Nachname|der Nachname
3819.0|klingen|klingen
3823.0|zuhause|zuhause
3827.0|die|die
3830.0|der Angetraute|die Angetraute
3911.0|gängig|gängig
3913.0|hochladen|hochladen
3938.0|Mobil|das Mobil
3939.0|Netz|das Netz
3943.0|daheim|daheim
3945.0|bringen|bringen
3948.0|Urlaub|der Urlaub
